tool,operation,pattern,status,file formats,website_url,github_repo,notes,vendor_group,vendor_libs
arw to tiff,convert,arw-to-tiff,onsite-verified,".arw,.tiff",,,,,
arw to webp,convert,arw-to-webp,onsite-verified,".arw,.webp",,,,,
asf to 3gp,convert,"x to y, convert x to y",onsite-unverified,".asf,.3gp",,,,,
asf to aac,convert,"x to y, convert x to y",onsite-verified,".asf,.aac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
asf to aiff,convert,"x to y, convert x to y",onsite-verified,".asf,.aiff",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
asf to alac,convert,"x to y, convert x to y",onsite-verified,".asf,.alac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
asf to amr,convert,"x to y, convert x to y",onsite-verified,".asf,.amr",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
asf to au,convert,"x to y, convert x to y",onsite-verified,".asf,.au",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
asf to av1,convert,"x to y, convert x to y",onsite-unverified,".asf,.av1",,,,,
asf to avchd,convert,"x to y, convert x to y",onsite-unverified,".asf,.avchd",,,,,
asf to avi,convert,"x to y, convert x to y",onsite-unverified,".asf,.avi",,,,,
asf to caf,convert,"x to y, convert x to y",onsite-verified,".asf,.caf",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
asf to cdda,convert,"x to y, convert x to y",onsite-verified,".asf,.cdda",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
asf to divx,convert,"x to y, convert x to y",onsite-unverified,".asf,.divx",,,,,
asf to f4v,convert,"x to y, convert x to y",onsite-unverified,".asf,.f4v",,,,,
asf to flac,convert,"x to y, convert x to y",onsite-verified,".asf,.flac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
asf to flv,convert,"x to y, convert x to y",onsite-unverified,".asf,.flv",,,,,
asf to gif,convert,"x to y, convert x to y",onsite-unverified,".asf,.gif",,,,,
asf to hevc,convert,"x to y, convert x to y",onsite-unverified,".asf,.hevc",,,,,
asf to m2ts,convert,"x to y, convert x to y",onsite-unverified,".asf,.m2ts",,,,,
asf to m4a,convert,"x to y, convert x to y",onsite-verified,".asf,.m4a",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
asf to m4r,convert,"x to y, convert x to y",onsite-verified,".asf,.m4r",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
asf to m4v,convert,"x to y, convert x to y",onsite-unverified,".asf,.m4v",,,,,
