tool,operation,pattern,status,file formats,website_url,github_repo,notes,vendor_group,vendor_libs
png to text,convert,png-to-text,in-progress,".png,.text",,,Needs registry entry; engine: ocr. Needs new engine support.,needs-new-engine,not supported by current canvas/magick paths
png to tga,convert,png-to-tga,onsite-verified,".png,.tga",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
png to tiff,convert,png-to-tiff,onsite-verified,".png,.tiff",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
png to webp,convert,"x to y, convert x to y",onsite-verified,,,,,canvas-only,none (browser canvas)
png to word,convert,png-to-word,in-progress,".png,.word",,,Needs registry entry; engine: doc-convert. Needs new engine support.,needs-new-engine,not supported by current canvas/magick paths
ppt to jpg,convert,ppt-to-jpg,in-progress,".ppt,.jpg",,,Needs registry entry; engine: doc-convert. Needs fixture for input format. Needs new engine support.,needs-new-engine,not supported by current canvas/magick paths
psd to gif,convert,psd-to-gif,onsite-verified,".psd,.gif",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
psd to jpeg,convert,psd-to-jpeg,onsite-verified,".psd,.jpeg",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
psd to jpg,convert,psd-to-jpg,onsite-verified,".psd,.jpg",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
psd to png,convert,psd-to-png,onsite-verified,".psd,.png",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
psd to svg,convert,psd-to-svg,onsite-verified,".psd,.svg",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
psd to webp,convert,psd-to-webp,onsite-verified,".psd,.webp",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
qt to mp4,convert,"x to y, convert x to y",onsite-unverified,".qt,.mp4",,,,,
ra to mp3,convert,"x to y, convert x to y",onsite-unverified,".ra,.mp3",,,,,
rm to 3gp,convert,"x to y, convert x to y",in-progress,".rm,.3gp",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to aac,convert,"x to y, convert x to y",onsite-verified,".rm,.aac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to aiff,convert,"x to y, convert x to y",onsite-verified,".rm,.aiff",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to alac,convert,"x to y, convert x to y",onsite-verified,".rm,.alac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to amr,convert,"x to y, convert x to y",onsite-verified,".rm,.amr",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to asf,convert,"x to y, convert x to y",in-progress,".rm,.asf",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to au,convert,"x to y, convert x to y",onsite-verified,".rm,.au",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to av1,convert,"x to y, convert x to y",in-progress,".rm,.av1",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to avchd,convert,"x to y, convert x to y",in-progress,".rm,.avchd",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to avi,convert,"x to y, convert x to y",in-progress,".rm,.avi",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to caf,convert,"x to y, convert x to y",onsite-verified,".rm,.caf",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to cdda,convert,"x to y, convert x to y",onsite-verified,".rm,.cdda",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to divx,convert,"x to y, convert x to y",in-progress,".rm,.divx",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to f4v,convert,"x to y, convert x to y",in-progress,".rm,.f4v",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to flac,convert,"x to y, convert x to y",onsite-verified,".rm,.flac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to flv,convert,"x to y, convert x to y",in-progress,".rm,.flv",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to gif,convert,"x to y, convert x to y",in-progress,".rm,.gif",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to hevc,convert,"x to y, convert x to y",in-progress,".rm,.hevc",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to m2ts,convert,"x to y, convert x to y",in-progress,".rm,.m2ts",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to m4a,convert,"x to y, convert x to y",onsite-verified,".rm,.m4a",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to m4r,convert,"x to y, convert x to y",onsite-verified,".rm,.m4r",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to m4v,convert,"x to y, convert x to y",in-progress,".rm,.m4v",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to mjpeg,convert,"x to y, convert x to y",in-progress,".rm,.mjpeg",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to mkv,convert,"x to y, convert x to y",in-progress,".rm,.mkv",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to mov,convert,"x to y, convert x to y",in-progress,".rm,.mov",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to mp2,convert,"x to y, convert x to y",onsite-verified,".rm,.mp2",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to mp3,convert,"x to y, convert x to y",onsite-unverified,".rm,.mp3",,,,,
rm to mp4,convert,"x to y, convert x to y",onsite-unverified,".rm,.mp4",,,,,
rm to mpeg,convert,"x to y, convert x to y",in-progress,".rm,.mpeg",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to mpeg2,convert,"x to y, convert x to y",in-progress,".rm,.mpeg2",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to mpg,convert,"x to y, convert x to y",in-progress,".rm,.mpg",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to mts,convert,"x to y, convert x to y",in-progress,".rm,.mts",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to mxf,convert,"x to y, convert x to y",in-progress,".rm,.mxf",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to oga,convert,"x to y, convert x to y",onsite-verified,".rm,.oga",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to ogg,convert,"x to y, convert x to y",onsite-verified,".rm,.ogg",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to opus,convert,"x to y, convert x to y",onsite-verified,".rm,.opus",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to rmvb,convert,"x to y, convert x to y",in-progress,".rm,.rmvb",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to ts,convert,"x to y, convert x to y",in-progress,".rm,.ts",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to vob,convert,"x to y, convert x to y",in-progress,".rm,.vob",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to wav,convert,"x to y, convert x to y",onsite-verified,".rm,.wav",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to webm,convert,"x to y, convert x to y",in-progress,".rm,.webm",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rm to wma,convert,"x to y, convert x to y",onsite-verified,".rm,.wma",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to 3gp,convert,"x to y, convert x to y",in-progress,".rmvb,.3gp",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to aac,convert,"x to y, convert x to y",onsite-verified,".rmvb,.aac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to aiff,convert,"x to y, convert x to y",onsite-verified,".rmvb,.aiff",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to alac,convert,"x to y, convert x to y",onsite-verified,".rmvb,.alac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to amr,convert,"x to y, convert x to y",onsite-verified,".rmvb,.amr",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to asf,convert,"x to y, convert x to y",in-progress,".rmvb,.asf",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to au,convert,"x to y, convert x to y",onsite-verified,".rmvb,.au",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to av1,convert,"x to y, convert x to y",in-progress,".rmvb,.av1",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to avchd,convert,"x to y, convert x to y",in-progress,".rmvb,.avchd",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to avi,convert,"x to y, convert x to y",in-progress,".rmvb,.avi",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to caf,convert,"x to y, convert x to y",onsite-verified,".rmvb,.caf",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to cdda,convert,"x to y, convert x to y",onsite-verified,".rmvb,.cdda",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to divx,convert,"x to y, convert x to y",in-progress,".rmvb,.divx",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to f4v,convert,"x to y, convert x to y",in-progress,".rmvb,.f4v",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to flac,convert,"x to y, convert x to y",onsite-verified,".rmvb,.flac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to flv,convert,"x to y, convert x to y",in-progress,".rmvb,.flv",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to gif,convert,"x to y, convert x to y",in-progress,".rmvb,.gif",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to hevc,convert,"x to y, convert x to y",in-progress,".rmvb,.hevc",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to m2ts,convert,"x to y, convert x to y",in-progress,".rmvb,.m2ts",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to m4a,convert,"x to y, convert x to y",onsite-verified,".rmvb,.m4a",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to m4r,convert,"x to y, convert x to y",onsite-verified,".rmvb,.m4r",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to m4v,convert,"x to y, convert x to y",in-progress,".rmvb,.m4v",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to mjpeg,convert,"x to y, convert x to y",in-progress,".rmvb,.mjpeg",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to mkv,convert,"x to y, convert x to y",in-progress,".rmvb,.mkv",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to mov,convert,"x to y, convert x to y",in-progress,".rmvb,.mov",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to mp2,convert,"x to y, convert x to y",onsite-verified,".rmvb,.mp2",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to mp3,convert,"x to y, convert x to y",onsite-verified,".rmvb,.mp3",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to mp4,convert,"x to y, convert x to y",onsite-unverified,".rmvb,.mp4",,,,,
rmvb to mpeg,convert,"x to y, convert x to y",in-progress,".rmvb,.mpeg",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to mpeg2,convert,"x to y, convert x to y",in-progress,".rmvb,.mpeg2",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to mpg,convert,"x to y, convert x to y",in-progress,".rmvb,.mpg",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to mts,convert,"x to y, convert x to y",in-progress,".rmvb,.mts",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to mxf,convert,"x to y, convert x to y",in-progress,".rmvb,.mxf",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to oga,convert,"x to y, convert x to y",onsite-verified,".rmvb,.oga",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to ogg,convert,"x to y, convert x to y",onsite-verified,".rmvb,.ogg",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to opus,convert,"x to y, convert x to y",onsite-verified,".rmvb,.opus",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to rm,convert,"x to y, convert x to y",in-progress,".rmvb,.rm",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to ts,convert,"x to y, convert x to y",in-progress,".rmvb,.ts",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to vob,convert,"x to y, convert x to y",in-progress,".rmvb,.vob",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to wav,convert,"x to y, convert x to y",onsite-verified,".rmvb,.wav",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to webm,convert,"x to y, convert x to y",in-progress,".rmvb,.webm",,,Engine: ffmpeg. Benchmark: fail - page.waitForFunction: Timeout 60000ms exceeded. Skip: low SV.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
rmvb to wma,convert,"x to y, convert x to y",onsite-verified,".rmvb,.wma",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
svg to dxf,convert,svg-to-dxf,in-progress,".svg,.dxf",,,Needs registry entry; engine: dxf-vector. Needs new engine support.,needs-new-engine,not supported by current canvas/magick paths
svg to eps,convert,svg-to-eps,in-progress,".svg,.eps",,,,needs-new-engine,not supported by current canvas/magick paths
svg to gif,convert,svg-to-gif,onsite-verified,".svg,.gif",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
svg to ico,convert,svg-to-ico,onsite-verified,".svg,.ico",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
svg to jpeg,convert,svg-to-jpeg,onsite-verified,".svg,.jpeg",,,,canvas-only,none (browser canvas)
svg to jpg,convert,"x to y, convert x to y",onsite-verified,,,,,canvas-only,none (browser canvas)
svg to png,convert,"x to y, convert x to y",onsite-verified,,,,,canvas-only,none (browser canvas)
svg to svg,convert,svg-to-svg,onsite-verified,".svg,.svg",,,,canvas-only,none (browser canvas)
svg to tga,convert,svg-to-tga,onsite-verified,".svg,.tga",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
svg to tif,convert,svg-to-tif,onsite-verified,".svg,.tif",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
svg to tiff,convert,svg-to-tiff,onsite-verified,".svg,.tiff",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
svg to webp,convert,"x to y, convert x to y",onsite-verified,".svg,.webp",,,,canvas-only,none (browser canvas)
swf to 3gp,convert,"x to y, convert x to y",onsite-unverified,".swf,.3gp",,,,,
swf to aac,convert,"x to y, convert x to y",onsite-verified,".swf,.aac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
swf to aiff,convert,"x to y, convert x to y",onsite-verified,".swf,.aiff",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
swf to alac,convert,"x to y, convert x to y",onsite-verified,".swf,.alac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
swf to amr,convert,"x to y, convert x to y",onsite-verified,".swf,.amr",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
swf to asf,convert,"x to y, convert x to y",onsite-unverified,".swf,.asf",,,,,
swf to au,convert,"x to y, convert x to y",onsite-verified,".swf,.au",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
swf to av1,convert,"x to y, convert x to y",onsite-unverified,".swf,.av1",,,,,
swf to avchd,convert,"x to y, convert x to y",onsite-unverified,".swf,.avchd",,,,,
swf to avi,convert,"x to y, convert x to y",onsite-unverified,".swf,.avi",,,,,
swf to caf,convert,"x to y, convert x to y",onsite-verified,".swf,.caf",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
swf to cdda,convert,"x to y, convert x to y",onsite-verified,".swf,.cdda",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
swf to divx,convert,"x to y, convert x to y",onsite-unverified,".swf,.divx",,,,,
swf to f4v,convert,"x to y, convert x to y",onsite-unverified,".swf,.f4v",,,,,
swf to flac,convert,"x to y, convert x to y",onsite-verified,".swf,.flac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
swf to flv,convert,"x to y, convert x to y",onsite-unverified,".swf,.flv",,,,,
swf to gif,convert,"x to y, convert x to y",onsite-unverified,".swf,.gif",,,,,
swf to hevc,convert,"x to y, convert x to y",onsite-unverified,".swf,.hevc",,,,,
swf to m2ts,convert,"x to y, convert x to y",onsite-unverified,".swf,.m2ts",,,,,
swf to m4a,convert,"x to y, convert x to y",onsite-verified,".swf,.m4a",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
swf to m4r,convert,"x to y, convert x to y",onsite-verified,".swf,.m4r",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
swf to m4v,convert,"x to y, convert x to y",onsite-unverified,".swf,.m4v",,,,,
swf to mjpeg,convert,"x to y, convert x to y",onsite-unverified,".swf,.mjpeg",,,,,
swf to mkv,convert,"x to y, convert x to y",onsite-unverified,".swf,.mkv",,,,,
swf to mov,convert,"x to y, convert x to y",onsite-unverified,".swf,.mov",,,,,
swf to mp2,convert,"x to y, convert x to y",onsite-verified,".swf,.mp2",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
swf to mp3,convert,"x to y, convert x to y",onsite-verified,".swf,.mp3",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
swf to mp4,convert,"x to y, convert x to y",onsite-unverified,".swf,.mp4",,,,,
swf to mpeg,convert,"x to y, convert x to y",onsite-unverified,".swf,.mpeg",,,,,
swf to mpeg2,convert,"x to y, convert x to y",onsite-unverified,".swf,.mpeg2",,,,,
swf to mpg,convert,"x to y, convert x to y",onsite-unverified,".swf,.mpg",,,,,
swf to mts,convert,"x to y, convert x to y",onsite-unverified,".swf,.mts",,,,,
swf to mxf,convert,"x to y, convert x to y",onsite-unverified,".swf,.mxf",,,,,
swf to oga,convert,"x to y, convert x to y",onsite-verified,".swf,.oga",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
swf to ogg,convert,"x to y, convert x to y",onsite-verified,".swf,.ogg",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
swf to opus,convert,"x to y, convert x to y",onsite-verified,".swf,.opus",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
swf to rm,convert,"x to y, convert x to y",onsite-unverified,".swf,.rm",,,,,
swf to rmvb,convert,"x to y, convert x to y",onsite-unverified,".swf,.rmvb",,,,,
swf to ts,convert,"x to y, convert x to y",onsite-unverified,".swf,.ts",,,,,
swf to vob,convert,"x to y, convert x to y",onsite-unverified,".swf,.vob",,,,,
swf to wav,convert,"x to y, convert x to y",onsite-verified,".swf,.wav",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
swf to webm,convert,"x to y, convert x to y",onsite-unverified,".swf,.webm",,,,,
swf to wma,convert,"x to y, convert x to y",onsite-verified,".swf,.wma",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
tga to jpg,convert,tga-to-jpg,onsite-verified,".tga,.jpg",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
tga to png,convert,tga-to-png,onsite-verified,".tga,.png",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
tga to tga,convert,tga-to-tga,onsite-verified,".tga,.tga",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
tga to tif,convert,tga-to-tif,onsite-verified,".tga,.tif",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
tga to tiff,convert,tga-to-tiff,onsite-verified,".tga,.tiff",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
tga to webp,convert,tga-to-webp,onsite-verified,".tga,.webp",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
tif to jpg,convert,tif-to-jpg,onsite-verified,".tif,.jpg",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
tif to png,convert,tif-to-png,onsite-verified,".tif,.png",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
tif to tif,convert,tif-to-tif,onsite-verified,".tif,.tif",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
tif to tiff,convert,tif-to-tiff,onsite-verified,".tif,.tiff",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
tif to webp,convert,tif-to-webp,onsite-verified,".tif,.webp",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
tiff to eps,convert,tiff-to-eps,in-progress,".tiff,.eps",,,,needs-new-engine,not supported by current image-convert outputs
tiff to gif,convert,tiff-to-gif,onsite-verified,".tiff,.gif",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
tiff to jpeg,convert,tiff-to-jpeg,onsite-verified,".tiff,.jpeg",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
tiff to jpg,convert,"x to y, convert x to y",onsite-verified,".tiff,.jpg",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
tiff to png,convert,"x to y, convert x to y",onsite-verified,".tiff,.png",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
tiff to svg,convert,"x to y, convert x to y",onsite-verified,".tiff,.svg",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
tiff to tiff,convert,tiff-to-tiff,onsite-verified,".tiff,.tiff",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
tiff to webp,convert,"x to y, convert x to y",onsite-verified,".tiff,.webp",,,,server-image-convert,imagemagick-wasm + ffmpeg-static (server)
