tool,operation,pattern,status,file formats,website_url,github_repo
cr3 to png,convert,cr3-to-png,onsite-verified,".cr3,.png",,
dng to jpeg,convert,dng-to-jpeg,onsite-verified,".dng,.jpeg",,
arw to jpeg,convert,arw-to-jpeg,onsite-verified,".arw,.jpeg",,
cr3 to jpeg,convert,cr3-to-jpeg,onsite-verified,".cr3,.jpeg",,
cr2 to tiff,convert,cr2-to-tiff,onsite-verified,".cr2,.tiff",,
dng to tiff,convert,dng-to-tiff,onsite-verified,".dng,.tiff",,
arw to tiff,convert,arw-to-tiff,onsite-verified,".arw,.tiff",,
cr3 to tiff,convert,cr3-to-tiff,onsite-verified,".cr3,.tiff",,
arw to bmp,convert,arw-to-bmp,onsite-verified,".arw,.bmp",,
arw to gif,convert,arw-to-gif,onsite-verified,".arw,.gif",,
arw to tif,convert,arw-to-tif,onsite-verified,".arw,.tif",,
arw to webp,convert,arw-to-webp,onsite-verified,".arw,.webp",,
cr2 to gif,convert,cr2-to-gif,onsite-verified,".cr2,.gif",,
cr2 to tif,convert,cr2-to-tif,onsite-verified,".cr2,.tif",,
cr2 to webp,convert,cr2-to-webp,onsite-verified,".cr2,.webp",,
cr3 to gif,convert,cr3-to-gif,onsite-verified,".cr3,.gif",,
cr3 to tif,convert,cr3-to-tif,onsite-verified,".cr3,.tif",,
cr3 to webp,convert,cr3-to-webp,onsite-verified,".cr3,.webp",,
dng to gif,convert,dng-to-gif,onsite-verified,".dng,.gif",,
dng to tif,convert,dng-to-tif,onsite-verified,".dng,.tif",,
dng to webp,convert,dng-to-webp,onsite-verified,".dng,.webp",,
jpg to eps,convert,jpg-to-eps,in-progress,".jpg,.eps",,
psd to jpeg,convert,psd-to-jpeg,in-progress,".psd,.jpeg",,
cur to png,convert,cur-to-png,in-progress,".cur,.png",,
gif to gif,convert,gif-to-gif,in-progress,".gif,.gif",,
psd to svg,convert,psd-to-svg,in-progress,".psd,.svg",,
svg to gif,convert,svg-to-gif,in-progress,".svg,.gif",,
jpeg to tiff,convert,jpeg-to-tiff,in-progress,".jpeg,.tiff",,
tga to jpg,convert,tga-to-jpg,in-progress,".tga,.jpg",,
jpeg to bmp,convert,jpeg-to-bmp,in-progress,".jpeg,.bmp",,
jpg to dds,convert,jpg-to-dds,in-progress,".jpg,.dds",,
ai to jpeg,convert,ai-to-jpeg,in-progress,".ai,.jpeg",,
dds to jpg,convert,dds-to-jpg,in-progress,".dds,.jpg",,
jpg to tga,convert,jpg-to-tga,in-progress,".jpg,.tga",,
jpeg to eps,convert,jpeg-to-eps,in-progress,".jpeg,.eps",,
svg to tiff,convert,svg-to-tiff,in-progress,".svg,.tiff",,
bmp to ico,convert,bmp-to-ico,in-progress,".bmp,.ico",,
eps to jpeg,convert,eps-to-jpeg,in-progress,".eps,.jpeg",,
gif to ico,convert,gif-to-ico,in-progress,".gif,.ico",,
svg to svg,convert,svg-to-svg,in-progress,".svg,.svg",,
psd to gif,convert,psd-to-gif,in-progress,".psd,.gif",,
tiff to gif,convert,tiff-to-gif,in-progress,".tiff,.gif",,
gif to bmp,convert,gif-to-bmp,in-progress,".gif,.bmp",,
gif to tga,convert,gif-to-tga,in-progress,".gif,.tga",,
